Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,GRWTH % Cereal,GRWTH % Meat&Fish,GRWTH % EGG,GRWTH % milk,GRWTH % Oils,GRWTH % Fruits,GRWTH % Veg,GRWTH % Pulses,GRWTH % Sugar,GRWTH % spices,GRWTH % NON alocholic
Rural,2013,January,107.5,106.3,108.1,104.9,106.1,103.9,101.9,106.1,106.8,103.1,104.8,2.79%,2.63%,4.53%,-1.24%,-2.54%,-1.54%,0.98%,-0.28%,-1.59%,-1.26%,0.29%
Urban,2013,January,110.5,109.1,113,103.6,103.4,102.3,102.9,105.8,105.1,101.8,105.1,-1.90%,-1.65%,-2.65%,0.77%,1.64%,0.88%,-0.68%,0.19%,1.05%,0.88%,-0.19%
Rural+Urban,2013,January,108.4,107.3,110,104.4,105.1,103.2,102.2,106,106.2,102.7,104.9,0.74%,1.30%,0.18%,0.96%,1.52%,0.78%,0.20%,-0.09%,-0.47%,0.39%,0.19%
Rural,2013,February,109.2,108.7,110.2,105.4,106.7,104,102.4,105.9,105.7,103.1,105.1,3.39%,3.86%,6.08%,-1.33%,-3.00%,-0.87%,2.44%,-1.70%,-1.80%,-0.78%,0.86%
Urban,2013,February,112.9,112.9,116.9,104,103.5,103.1,104.9,104.1,103.8,102.3,106,-2.21%,-2.39%,-3.51%,0.87%,1.93%,0.48%,-1.62%,1.15%,1.25%,0.49%,-0.47%
Rural+Urban,2013,February,110.4,110.2,112.8,104.9,105.5,103.6,103.2,105.3,105.1,102.8,105.5,-0.18%,-1.27%,-2.57%,0.67%,0.66%,2.03%,-1.74%,0.38%,-0.10%,0.49%,0.09%
Rural,2013,March,110.2,108.8,109.9,105.6,106.2,105.7,101.4,105.7,105,103.3,105.6,3.36%,2.39%,3.00%,-1.23%,-3.30%,-0.76%,2.37%,-2.08%,-2.29%,-0.87%,1.33%
Urban,2013,March,113.9,111.4,113.2,104.3,102.7,104.9,103.8,103.5,102.6,102.4,107,-2.19%,-1.53%,-1.77%,0.77%,2.14%,0.38%,-1.54%,1.45%,1.56%,0.59%,-0.75%
Rural+Urban,2013,March,111.4,109.7,111.2,105.1,104.9,105.3,102.2,105,104.2,103,106.2,-1.08%,-0.18%,-3.87%,1.14%,0.76%,2.85%,1.17%,0.67%,0.00%,0.19%,0.28%
Rural,2013,April,110.2,109.5,106.9,106.3,105.7,108.3,103.4,105.7,104.2,103.2,106.5,3.99%,3.56%,-0.84%,-1.51%,-3.41%,1.11%,6.09%,-1.04%,-2.11%,0.29%,1.60%
Urban,2013,April,114.6,113.4,106,104.7,102.1,109.5,109.7,104.6,102,103.5,108.2,-2.62%,-2.20%,0.57%,0.96%,2.25%,-0.55%,-3.83%,0.67%,1.47%,-0.19%,-0.92%
Rural+Urban,2013,April,111.6,110.9,106.6,105.7,104.4,108.9,105.5,105.3,103.5,103.3,107.2,-0.63%,-0.99%,-0.66%,1.70%,0.86%,-0.73%,1.71%,0.76%,0.19%,0.68%,0.19%
Rural,2013,May,110.9,109.8,105.9,107.5,105.3,108.1,107.3,106.1,103.7,104,107.4,4.06%,4.01%,-3.02%,-1.86%,-3.61%,2.31%,15.28%,-0.85%,-1.74%,0.96%,1.58%
Urban,2013,May,115.4,114.2,102.7,105.5,101.5,110.6,123.7,105.2,101.9,105,109.1,-2.69%,-2.54%,1.95%,1.23%,2.36%,-1.18%,-8.73%,0.57%,1.18%,-0.67%,-0.92%
Rural+Urban,2013,May,112.3,111.3,104.7,106.8,103.9,109.3,112.9,105.8,103.1,104.3,108.1,0.00%,0.72%,3.25%,1.40%,1.92%,-0.09%,4.52%,0.95%,0.97%,1.05%,0.09%
Rural,2013,June,112.3,112.1,108.1,108.3,105.9,109.2,118,106.8,104.1,105.4,108.2,4.19%,7.14%,4.07%,-0.92%,-4.34%,2.93%,21.69%,-1.31%,-2.59%,0.95%,1.66%
Urban,2013,June,117,120.1,112.5,107.3,101.3,112.4,143.6,105.4,101.4,106.4,110,-2.74%,-4.33%,-2.40%,0.56%,2.86%,-1.51%,-11.77%,0.85%,1.78%,-0.66%,-0.91%
Rural+Urban,2013,June,113.8,114.9,109.8,107.9,104.2,110.7,126.7,106.3,103.2,105.7,109,-0.35%,0.00%,0.64%,1.30%,1.92%,-0.36%,1.97%,0.75%,1.07%,0.66%,0.09%
Rural,2013,July,113.4,114.9,110.5,109.3,106.2,110.3,129.2,107.1,104.3,106.4,109.1,3.88%,3.74%,3.17%,-0.91%,-4.80%,2.63%,24.54%,-1.87%,-2.88%,1.03%,1.19%
Urban,2013,July,117.8,119.2,114,108.3,101.1,113.2,160.9,105.1,101.3,107.5,110.4,-2.55%,-2.35%,-1.84%,0.55%,3.17%,-1.33%,-12.99%,1.24%,1.97%,-0.65%,-0.72%
Rural+Urban,2013,July,114.8,116.4,111.9,108.9,104.3,111.7,140,106.4,103.3,106.8,109.6,-0.44%,-0.86%,-0.71%,1.01%,2.01%,-0.81%,-0.79%,0.94%,0.77%,0.09%,0.09%
Rural,2013,August,114.3,115.4,111.1,110,106.4,110.8,138.9,107.4,104.1,106.9,109.7,3.50%,4.33%,1.44%,-1.00%,-4.98%,-1.90%,27.43%,-2.51%,-2.98%,1.50%,1.09%
Urban,2013,August,118.3,120.4,112.7,108.9,101.1,108.7,177,104.7,101,108.5,110.9,-2.28%,-2.66%,-0.89%,0.64%,3.36%,1.01%,-14.24%,1.72%,2.08%,-1.01%,-0.63%
Rural+Urban,2013,August,115.6,117.2,111.7,109.6,104.5,109.8,151.8,106.5,103.1,107.4,110.2,-0.17%,-1.28%,0.00%,1.28%,2.78%,1.00%,1.45%,1.50%,1.07%,0.47%,0.18%
Rural,2013,September,115.4,115.7,111.7,111,107.4,110.9,154,108.1,104.2,107.9,110.4,2.77%,2.94%,1.34%,-1.26%,-5.31%,-6.94%,13.18%,-2.78%,-3.26%,1.11%,0.63%
